07/11/10,18,4.1,-6.5,57.4
07/15/10,-29.1,10.4,-26.3,-34.3
07/17/10,-52.4,-30,13.9,-33.7
07/18/10,21,-2.7,55.2,-40
07/21/10,43.7,16.3,-57.2,-46.6
07/21/10,-13.9,-47.2,54.7,-15.5
07/23/10,12.2,-38.8,-3.1,-12.2
07/27/10,-50.5,30.8,45.8,-47.5
07/27/10,43.5,47.9,-35,7.5
07/27/10,-38.2,-43,-2.5,49.4
07/28/10,50.5,25.2,29.7,5.3
07/30/10,-54.3,19.6,19.6,4.5
07/31/10,59.2,-0.6,-59.2,-4.8
08/05/10,-28,8.3,-45.1,-21.4
08/09/10,-10,7.5,12.8,29.8
08/10/10,36,26.5,14.1,-12.6
08/11/10,-16.5,-45.6,-28.9,-39.6
08/14/10,-1,9.5,27.2,1.6
08/15/10,-50.5,-17.2,19.6,-35.1
08/16/10,55.6,43.6,42.5,-41.3
08/19/10,-57.4,49.6,-17.9,-41.1
08/20/10,-32.8,36.5,-51.1,-2.7
08/21/10,-25.7,-46.4,-47.5,23.4
08/22/10,7.5,52.4,-33,-41.4
08/22/10,-39.4,-5.9,37.2,44
08/25/10,-50.5,36.8,23.1,50.4
08/27/10,-52.8,-40.2,0.5,-29.1
08/29/10,-16.5,-10.3,59.5,-18.7
08/30/10,2.7,-18.5,-55.1,17
09/04/10,-35.8,-41.1,16.5,46.8
09/04/10,-56.6,-17.4,21.9,28.1
